3.9289 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
57.0210 	EXP 	Recog_Question: autoDraw = False
57.0210 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark40.jpeg'
57.0210 	EXP 	LandmarkImage: autoDraw = True
57.0210 	EXP 	Recog_Question: autoDraw = True
57.0283 	DATA 	Keypress: n
57.7285 	EXP 	New trial (rep=0, index=31): {'image': 'Recognition/Incorrect/Landmark31.jpeg', 'correct_key': 'n'}
58.2880 	DATA 	Keypress: n
58.3101 	EXP 	LandmarkImage: autoDraw = False
58.3101 	EXP 	Recog_Question: autoDraw = False
58.3101 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark31.jpeg'
58.3101 	EXP 	LandmarkImage: autoDraw = True
58.3101 	EXP 	Recog_Question: autoDraw = True
58.6241 	EXP 	New trial (rep=0, index=32): {'image': 'Recognition/Correct/Landmark14.jpeg', 'correct_key': 'y'}
59.1741 	DATA 	Keypress: n
59.2197 	EXP 	LandmarkImage: autoDraw = False
59.2197 	EXP 	Recog_Question: autoDraw = False
59.2197 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark14.jpeg'
59.2197 	EXP 	LandmarkImage: autoDraw = True
59.2197 	EXP 	Recog_Question: autoDraw = True
59.3316 	EXP 	New trial (rep=0, index=33): {'image': 'Recognition/Correct/Landmark20.jpeg', 'correct_key': 'y'}
59.8859 	DATA 	Keypress: n
59.9083 	EXP 	LandmarkImage: autoDraw = False
59.9083 	EXP 	Recog_Question: autoDraw = False
59.9083 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark20.jpeg'
59.9083 	EXP 	LandmarkImage: autoDraw = True
59.9083 	EXP 	Recog_Question: autoDraw = True
59.9584 	EXP 	New trial (rep=0, index=34): {'image': 'Recognition/Incorrect/Landmark36.jpeg', 'correct_key': 'n'}
60.5116 	DATA 	Keypress: n
60.5436 	EXP 	LandmarkImage: autoDraw = False
60.5436 	EXP 	Recog_Question: autoDraw = False
60.5436 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark36.jpeg'
60.5436 	EXP 	LandmarkImage: autoDraw = True
60.5436 	EXP 	Recog_Question: autoDraw = True
60.5894 	EXP 	New trial (rep=0, index=35): {'image': 'Recognition/Correct/Landmark12.jpeg', 'correct_key': 'y'}
61.1165 	DATA 	Keypress: n
61.1498 	EXP 	LandmarkImage: autoDraw = False
61.1498 	EXP 	Recog_Question: autoDraw = False
61.1498 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark12.jpeg'
61.1498 	EXP 	LandmarkImage: autoDraw = True
61.1498 	EXP 	Recog_Question: autoDraw = True
61.3307 	EXP 	New trial (rep=0, index=36): {'image': 'Recognition/Incorrect/Landmark35.jpeg', 'correct_key': 'n'}
61.8825 	DATA 	Keypress: n
61.9150 	EXP 	LandmarkImage: autoDraw = False
61.9150 	EXP 	Recog_Question: autoDraw = False
61.9150 	EXP 	LandmarkImage: image = 'Recognition/Incorrect/Landmark35.jpeg'
61.9150 	EXP 	LandmarkImage: autoDraw = True
61.9150 	EXP 	Recog_Question: autoDraw = True
61.9424 	EXP 	New trial (rep=0, index=37): {'image': 'Recognition/Correct/Landmark17.jpeg', 'correct_key': 'y'}
62.4978 	DATA 	Keypress: n
62.4999 	DATA 	Keypress: n
62.5351 	EXP 	LandmarkImage: autoDraw = False
62.5351 	EXP 	Recog_Question: autoDraw = False
62.5351 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark17.jpeg'
62.5351 	EXP 	LandmarkImage: autoDraw = True
62.5351 	EXP 	Recog_Question: autoDraw = True
63.2213 	EXP 	New trial (rep=0, index=38): {'image': 'Recognition/Correct/Landmark3.jpeg', 'correct_key': 'y'}
63.8588 	DATA 	Keypress: n
63.8922 	EXP 	LandmarkImage: autoDraw = False
63.8922 	EXP 	Recog_Question: autoDraw = False
63.8922 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark3.jpeg'
63.8922 	EXP 	LandmarkImage: autoDraw = True
63.8922 	EXP 	Recog_Question: autoDraw = True
64.1798 	EXP 	New trial (rep=0, index=39): {'image': 'Recognition/Correct/Landmark19.jpeg', 'correct_key': 'y'}
64.7943 	DATA 	Keypress: n
64.8200 	EXP 	LandmarkImage: autoDraw = False
64.8200 	EXP 	Recog_Question: autoDraw = False
64.8200 	EXP 	LandmarkImage: image = 'Recognition/Correct/Landmark19.jpeg'
64.8200 	EXP 	LandmarkImage: autoDraw = True
64.8200 	EXP 	Recog_Question: autoDraw = True
64.9832 	DATA 	Keypress: n
64.9945 	EXP 	LandmarkImage: autoDraw = False
64.9945 	EXP 	Recog_Question: autoDraw = False
64.9945 	EXP 	text_3: autoDraw = True
67.9981 	EXP 	text_3: autoDraw = False
67.9981 	EXP 	text_3: autoDraw = False
68.5620 	EXP 	window1: mouseVisible = True
